Number,lat,lon,ele,time,AQI,GSR
290,51.5276642,-0.001954692,5.984000869,14:46:21,98,273
291,51.52761925,-0.001994123,6.14461292,14:46:26,98,276
292,51.52757969,-0.00204427,5.318558137,14:46:32,97,278
293,51.52754351,-0.002091133,5.620621894,14:46:39,95,280
294,51.52750426,-0.002127727,5.712564895,14:46:44,95,280
295,51.52745644,-0.002137488,4.950987252,14:46:50,91,280
296,51.52740344,-0.002128895,5.25900144,14:46:54,91,280
297,51.52735736,-0.00214875,5.123518014,14:46:59,95,280
298,51.52731671,-0.002205446,5.094432035,14:47:04,91,280
299,51.52727702,-0.002268455,5.0917626,14:47:10,94,275
300,51.52724062,-0.002319863,4.987104703,14:47:15,92,275
301,51.52721484,-0.002388773,5.540138531,14:47:20,92,273
302,51.52721257,-0.002462358,4.696225542,14:47:24,91,274
303,51.52719327,-0.002543347,4.440509268,14:48:07,94,270
304,51.52717819,-0.002631212,4.739820233,14:48:10,94,272
305,51.52716343,-0.002701972,4.509764723,14:48:16,97,269
306,51.52713787,-0.002762315,4.423066236,14:48:26,96,273
307,51.52713193,-0.002843994,4.423190062,14:48:44,98,274
308,51.52710523,-0.00291861,4.076042285,14:48:52,103,275
309,51.52706939,-0.002977093,4.221140801,14:48:57,106,270
310,51.527051,-0.00304878,4.091977075,14:49:02,105,275
311,51.52704587,-0.003134974,4.023133282,14:49:07,100,280
312,51.52702812,-0.003205187,3.716507291,14:49:14,105,280
313,51.52701342,-0.003289459,3.74059359,14:49:18,107,279
314,51.52698088,-0.003355322,3.573102329,14:49:24,109,275
315,51.52697375,-0.003440798,3.86333671,14:49:30,113,277
316,51.52697507,-0.00351384,4.252736499,14:49:34,114,280
317,51.52699963,-0.003591844,4.275283078,14:49:39,112,277
318,51.52702315,-0.00366728,4.477470962,14:49:47,112,278
319,51.52706701,-0.003711827,4.249063162,14:49:52,109,280
320,51.52711876,-0.003712584,5.22651255,14:49:58,106,279
321,51.52716254,-0.003666458,6.186869105,14:50:03,109,280
322,51.5272076,-0.003654062,6.044524226,14:50:08,104,280
323,51.52725347,-0.003666254,6.25055876,14:50:13,106,275
324,51.52730522,-0.003689502,6.437454083,14:50:19,102,278
325,51.5273516,-0.003710348,6.726913544,14:50:25,101,280
326,51.52739214,-0.003745113,6.525712006,14:50:30,106,279
327,51.52744079,-0.003779485,6.478961861,14:50:36,101,277
328,51.52748938,-0.003799538,5.895348097,14:50:42,99,280
